,User,Tweet
0,EricHazard,RT @vested: Rising #MortgageRates aren't the only factor impacting the housing market. Vested Chief Economist @MiltonEzrati explores market…
1,90percenters,"RT @RichardJMurphy: A fall in the value of the pound impacts everything we buy from abroad. That includes gas, petrol and more than half ou…"
2,olisalignac2,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
3,joni_koskimaa,"@evan_van_ness I'm gonna ELI5 it to you.

You know how rewards come from inflation?

If you don't get rewards, you're not keeping up with the expanding supply. That is, you _lose value_.

It's does the job of slashing, without stuff like lockups &amp; minimum stake that incentivize centralization."
4,TokyoSanctuary,RT @ReutersJapanBiz: 米経済「軟着陸可能」、物価への向かい風は存在＝財務副長官 https://t.co/RUXx0h767Z https://t.co/0i3pUDoy84
5,c28tim,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
6,me2buck,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
7,Dhochlaf,"Still not clear that wages will rise faster than inflation, so real earnings will continue to fall. Plus lots of people without assets at facing a brutal private rented market, making it impossible to save for a deposit"
8,RealWIPatriot1,"@DickesonKathy Hmmm to get our country out of this downward death spiral and bring back personal responsibility, law and order, no boys in the girls bathroom, schools for teaching rather than indoctrination, tame inflation, bring back record employment for minorities, etc etc."
9,Organic_Only,RT @johnredwood: So the IMF and some big foreign investment banks and funds do not want the UK to be more competitive with lower taxes. I d…
10,CancelTheGOP1,"RT @77SunnyAndClear: @SenJohnKennedy Louisiana ranks among the Top 10 of the worst economic and social categories⤵️ 
—Most Dangerous
—Poore…"
11,Aaakott,"RT @kuttrapali26: Inflation Is when you pay 500 Rs
for the 100 Rs haircut, which You used to get for 50 Rs when You had hair"
12,Thor_Delbarto,"RT @Reconquete_Actu: Le salaire d'Ursula von der Leyen était de 29.205€/mois. Il a été augmenté de 8,5% en juillet pour compenser l'inflati…"
13,HarmlessYardDog,"RT @GeorgeGammon: Notice how she says “the sabotage action” and not “the alleged sabotage action.”

I don’t care how much you hate Russia/P…"
14,AshiyaSolih,"RT @McKinsey: Inflation has altered the economic mood, and potentially reset the path of global and national economies worldwide for many y…"
15,duonghieutong,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
