,User,Original Tweet
0,dw_russian,Макрон не исключил поставку в Украину танков Lecrerc. Об этом президент Франции заявил на совместной с канцлером Германии Олафом Шольцем пресс-конференции в Париже https://t.co/PjgSLpMz0o https://t.co/eWsGl5PQog
1,kavkaz_realii,"Контрактники 136-й мотострелковой бригады Дагестана отказались выполнять приказы командования в ходе войны в Украине и самовольно убыли в пункт постоянной дислокации подразделения в Буйнакске. 

https://t.co/Q8b4vswLJc"
2,CurrentTimeTv,Контрактники из Дагестана отказались воевать в Украине и вернулись в часть https://t.co/ZJFf0PF6CA
3,IGurskaja,"RT @dmitry_gordon: Германия не будет препятствовать Польше, если она захочет передать Украине свои танки Leopard 2 – Бербок https://t.co/rm…"
4,solidcomposite,@ok_ukraine «Я ебал столько на поезде ехать… когда уже самолетом можно будет летать?»
5,negelot14,"RT @War2022ua: Чтобы меньше по чужим полям лазили
#ukrainecounteroffensive #Ukraine #Kherson #Soledar #Wagner #ATACMS #Bakhmut #HIMARS #Kra…"
6,Dana98635455,@EleonoraDrag_75 @Azovsouth #Ukraine #StandWithUkraine️#ЗСУ
7,DVanHook822,"RT @FuckPutinBot: Иди трахнуйся, Путин!
(Russian)

#PutinsWar #StandWithUkraine #RussianWarCrimes #Ukraine"
8,wRLMyxE7ZEr5CKr,"К русским людям.

Пожалуйста, примите решение

Пожалуйста, объединитесь.

Противостоять Путин.

Только вы можете это сделать.

#Украина #Россия #Ukraine #Russia  #Putin #Беларусь #Belarus https://t.co/zo7BS7xzaM"
9,wRLMyxE7ZEr5CKr,"К русским людям.

Пожалуйста, примите решение

Пожалуйста, объединитесь.

Противостоять Путин.

Только вы можете это сделать.

#Украина #Россия #Ukraine #Russia  #Putin #Беларусь #Belarus https://t.co/kzW4LNfkx5"
10,FuckPutinBot,"Иди трахнуйся, Путин!
(Russian)

#PutinsWar #StandWithUkraine #RussianWarCrimes #Ukraine"
11,TBaltrukonis,"RT @War2022ua: Чтобы меньше по чужим полям лазили
#ukrainecounteroffensive #Ukraine #Kherson #Soledar #Wagner #ATACMS #Bakhmut #HIMARS #Kra…"
12,uatime_net,"В соответствии с ситуацией. Германия и Франция одобрили декларацию о предоставлении оружия Украине
https://t.co/WNLkQjLvPJ"
13,finoboz,"В воскресенье оккупанты обстреляли 2 громады в Сумской области – глава ОВА https://t.co/0WowGXCVvx

В течение воскресенья российские оккупанты обстреляли Новослободскую и Шалыгинскую громады, сообщил глава Сумской областной военной администрации Дмитрий Живицкий.""По Новослобод..."
14,medvedrrr,"@ok_ukraine Арестович, на самом деле, гораздо более ценный кадр, чем принято считать. Вы  упустили присвоение ему нового звания во время войны. Думаю, после победы Украины он о многом расскажет, тогда хейтеры поймут свою ошибку Особенно кто высказывают «свое» мнение следом за лидерами мнений"
15,kovalyovsv,"RT @bocharik: Отказ США и Германии поставлять Abrams и Leopard 2 приведет к скорому поражению ВСУ 

Сейчас само существование Украины может…"
16,AtGate000,"@ok_ukraine Ну и болото, блять… автор, где ты набрал этих пидорасов? Ты ж вроде не дурак…"
17,P5iJtpIjbmT9a27,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
18,tatyanasorvenko,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
19,dizDRUGtor,@ok_ukraine милаха
20,Marmfarm,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
21,tarmo1978,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
22,Piinn7,@ok_ukraine Бля простите меня ЕБАНИНА с маленькой буквы.
23,suvenir_ukraine,"RT @CurrentTimeTv: ""Я почти уверена, что Россия попытается захватить Казахстан. Поэтому критически важно, чтобы Украина выиграла в этой вой…"
24,yustas76,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
25,suvenir_ukraine,"RT @garaevruslan02: Карельское национальное движение объявило о создании национального батальона ВСУ, конечной целью которого является осво…"
26,OVasyliuk,"RT @War2022ua: Пограничники спасают сослуживца, который получил ранение

Локация: район Соледара.
#ukrainecounteroffensive #Ukraine #Kherso…"
27,b0mbard1er,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
28,suvenir_ukraine,RT @Zaratus53061801: Слушайте русские своих задорновых. В их юморе вы услышите ваше будущее. А будущее ваше назавидное. https://t.co/rXMEyX…
29,suvenir_ukraine,"RT @Rusofob_Moldova: Резников сообщил о прибытии в Украину британских боевых вертолетов Sea King 

На коротком видео, которое выложил глава…"
30,suvenir_ukraine,"RT @SIKORA_slava: ""Ты платишь 14 долларов в месяц за победу над Россией при этом не теряя ни единого американского солдата"" - американец о…"
31,PlatformaFeed,"Шабаш уродов в православных храмах на Украине. Чего добиваются?

https://t.co/EZqUV8gijT 

#Платформа #ПлатформаКараулова https://t.co/PosMJonv1k"
32,suvenir_ukraine,"RT @watermelonONK: Борис Джонсон в Давосе:
Хватит думать о диалоге! Не наше дело думать о Кремле. Отдайте танки Украине! Мы продолжаем недо…"
33,suvenir_ukraine,"RT @MaitanovAzamat: 🇺🇦Казахи ставят «юрту несокрушимости» в Харькове. 
Это третья юрта, первая юрта появилась в Буче, вторая - в Киеве. Ещё…"
34,sergeysolombala,RT @dw_russian: Макрон не исключил поставку в Украину танков Lecrerc. Об этом президент Франции заявил на совместной с канцлером Германии О…
35,Cotton_Grower,"RT @MoscowTimes_ru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля https://t.co/BSF0ScFAPC"
36,anarxy99,"RT @War2022ua: Армия Марокко отправила в Украину около 20 танков Т-72Б – алжирское издание MenaDefense.
#ukrainecounteroffensive #Ukraine #…"
37,Piinn7,@ok_ukraine Хуёвоя ебанина.
38,baba_skrepa,"Нью-Йорк, район Флэтайрон Плаза. Активисты движения Unify Ukraine высадили 335 подсолнухов в самом центре города

Акция приурочена ко Дню Соборности Украины. Один подсолнух на каждый день войны

#Flatiron #NYC #Ukraine https://t.co/3IBTfmB3nu"
39,Alex_Natykan,"RT @wizardaleks: 🔥Politico: В конгрессе 🇺🇲США призвали передать🇺🇦 Киеву баллистические ракеты для ударов по Крыму.⚡
https://t.co/LxfsM83ywr"
40,rogue_corq,Канада выплатит жертвам жестокого обращения с коренными народами более 2 миллиардов долларов https://t.co/QK5QRjwwP5 #ukraine
41,MrVarno,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
42,vv120907,"RT @garaevruslan02: Мигрантов из Кыргызстана и Таджикистана, получивших российское гражданство, перестали выпускать из России под предлогом…"
43,SkageniyKotyara,@ok_ukraine Агент Виродок. Нормально?
44,Ohlalena,"RT @finanzru: Разведка США: Путин потерял в Украине почти всю армию, собранную перед 24 февраля

188 тысяч убитыми и ранеными - такую цифру…"
45,GRUZ200_300,"RT @OnfireUkraine: В Киеве церемония прощания с погибшими в авиакатастрофе в Броварах.
К зданию МВД прибыл кортеж с телами погибших.#HIMARS…"
46,GRUZ200_300,"RT @OnfireUkraine: А в Броварах сегодня прощаются с погибшей из-за крушения вертолета девочкой Миланой и ее мамой Еленой.
Отец малышки узна…"
47,GRUZ200_300,"RT @OnfireUkraine: В районе Дергачей Харьковской области нашли схрон рашистских боеприпасов.
Он находился там еще с момента оккупации этих…"
48,GRUZ200_300,"RT @OnfireUkraine: 🇬🇧 В Минобороны Великобритании показали, на что способны танки Challenger 2 #HIMARS #SlavaUkraine #UkraineRussiaWar #Ukr…"
